Amp                      Mask
1.378992298787573816e+02 0.000000000000000000e+00
1.487989852277761713e+02 0.000000000000000000e+00
1.528074033051606477e+02 0.000000000000000000e+00
1.712181137749606137e+02 0.000000000000000000e+00
1.647711890150273177e+02 0.000000000000000000e+00
1.496382851370203468e+02 0.000000000000000000e+00
1.514226936498610030e+02 0.000000000000000000e+00
1.569911508866804297e+02 0.000000000000000000e+00
1.564120865613938349e+02 0.000000000000000000e+00
1.546170856898811223e+02 0.000000000000000000e+00
1.539697834107774952e+02 0.000000000000000000e+00
1.533708535030489202e+02 0.000000000000000000e+00
1.541715878105667912e+02 0.000000000000000000e+00
1.413501837829514898e+02 0.000000000000000000e+00
1.551310977885064517e+02 0.000000000000000000e+00
1.644459863098865924e+02 0.000000000000000000e+00
1.813204860083482970e+02 0.000000000000000000e+00
1.672601917779879557e+02 0.000000000000000000e+00
1.552321653440112357e+02 0.000000000000000000e+00
1.488181804955157190e+02 0.000000000000000000e+00
1.449644511162105118e+02 0.000000000000000000e+00
1.372595643433304815e+02 0.000000000000000000e+00
1.397718737868567587e+02 0.000000000000000000e+00
1.418984438533593391e+02 0.000000000000000000e+00
1.418471926255408277e+02 0.000000000000000000e+00
1.423352164572684728e+02 0.000000000000000000e+00
1.579593785024596002e+02 0.000000000000000000e+00
2.136055501334708424e+02 0.000000000000000000e+00
2.268420500179474573e+02 0.000000000000000000e+00
1.926585135634784365e+02 0.000000000000000000e+00
1.645014626428474571e+02 0.000000000000000000e+00
